tick,pid,old_state,new_state
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,1,RUNNABLE,RUNNING
1,1,RUNNING,ZOMBIE
1,1,ZOMBIE,RUNNABLE
1,2,RUNNING,ZOMBIE
1,2,ZOMBIE,RUNNABLE
1,2,RUNNABLE,RUNNING
1,2,RUNNING,ZOMBIE
1,2,ZOMBIE,RUNNABLE
1,2,RUNNABLE,RUNNING
1,2,RUNNING,ZOMBIE
1,2,ZOMBIE,RUNNABLE
1,2,RUNNABLE,RUNNING
1,2,RUNNING,ZOMBIE
1,2,ZOMBIE,RUNNABLE
1,2,RUNNABLE,RUNNING
1,2,RUNNING,ZOMBIE
1,2,ZOMBIE,RUNNABLE
1,2,RUNNABLE,RUNNING
1,2,RUNNING,ZOMBIE
1,2,ZOMBIE,RUNNABLE
1,2,RUNNABLE,RUNNING
1,2,RUNNING,ZOMBIE
